Income,Credit_Score,Employment_Years,Loan_Amount,Age,Loan_Approved
141958,535,4,252747,49,0
166867,633,19,973848,39,1
151932,675,9,593088,26,1
123694,758,11,337516,53,1
139879,436,14,373660,60,1
130268,846,16,856970,39,1
74886,812,9,900350,21,1
157337,595,5,982477,25,1
188266,619,17,383299,47,1
107498,648,12,805600,36,1
132727,528,2,109500,26,1
146324,569,9,217647,60,1
195203,590,13,286527,33,1
36023,464,5,485477,55,0
61090,304,2,684947,39,0
87221,678,15,602004,32,1
84820,377,6,446452,36,0
20769,709,19,459064,30,1
79735,431,13,52352,45,0
84925,341,8,183004,40,0
25311,388,14,912881,51,0
123355,701,20,582844,24,1
105305,595,2,836261,43,0
179765,594,1,398980,22,1
150608,825,1,710858,42,1
176730,721,2,781478,57,1
104478,322,17,100098,28,1
142537,442,13,424313,27,0
169503,444,19,714929,34,1
150523,524,17,297199,23,1
22747,802,9,176060,36,1
143855,403,1,237954,39,0
85725,338,0,775753,38,0
149981,497,3,180544,36,1
104654,690,13,574628,28,1
186845,478,0,749309,53,0
139346,747,13,656590,32,1
87435,799,15,797028,31,1
76886,314,13,517243,25,0
86803,588,19,574426,47,1
51551,777,2,443574,32,0
136216,530,2,693907,37,0
31394,719,8,518466,26,0
89092,456,5,921808,53,0
23890,849,12,674219,25,1
61606,740,20,998158,48,1
107313,396,1,206951,34,0
161699,710,7,917964,25,1
28792,588,20,892210,53,0
194073,553,1,612060,39,1
174969,495,3,108478,42,1
88148,821,14,507569,25,1
144243,816,3,601050,22,1
140174,417,12,194355,50,1
174555,458,11,769282,59,1
144358,527,12,744780,24,1
68555,515,13,892000,53,0
37159,314,19,921522,33,0
130510,456,17,856651,40,1
126530,560,5,893601,27,0
100077,456,10,543671,35,0
55920,346,1,649253,43,0
39457,623,18,227912,34,1
98953,429,18,225767,43,1
72995,710,4,286281,39,0
191829,394,18,134754,49,1
29692,591,1,652276,40,0
196830,582,9,501558,49,1
57065,368,1,557732,44,0
119299,310,10,200023,38,0
183678,553,17,706667,30,1
31534,849,14,130388,28,1
60397,433,8,927200,46,0
111387,322,18,871860,49,0
21016,645,8,289779,30,0
75591,601,2,928453,37,0
43247,662,20,954850,22,1
44300,695,8,256846,26,1
102798,517,13,744335,25,0
29268,440,18,182212,48,0
106807,509,6,992346,25,0
32185,759,15,862853,38,1
190171,655,15,838140,46,1
159643,623,0,971134,40,0
58044,432,3,462811,47,0
71214,426,3,650309,32,0
134752,405,6,209380,27,1
68984,677,7,94789,23,1
60774,350,16,76086,30,0
22568,328,4,329003,54,0
140151,761,6,581972,45,1
153767,595,19,141088,55,1
144375,596,19,444423,36,1
199262,706,3,620387,22,1
156330,704,5,640381,44,1
59504,645,6,210761,30,0
184231,719,17,885083,58,1
33986,481,4,588181,42,0
81858,300,19,541024,46,1
149312,670,2,640706,59,1
32666,730,6,175074,47,0
58660,608,13,939497,49,0
154633,436,6,180351,58,0
46854,501,4,765371,40,0
84505,735,4,88635,47,1
124488,612,1,145071,40,0
42662,416,20,515918,39,0
28392,543,5,914950,40,0
50535,836,14,418377,55,1
133569,374,20,940083,22,1
72256,685,9,647093,50,1
109135,509,6,471280,54,1
147478,774,4,959245,42,1
55222,717,0,391207,23,0
97373,646,12,314598,26,1
143684,828,20,333022,35,1
